PROT_SDI,COD_COLP_DA_PROVV,SEX_COLP_PROVV,ETA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV,NAZIONE_NASCITA_COLP_PROVV_ISO
AGCC012024000130,20050225131356116265,MASCHIO,26,ITALIA,ITA
AGCP032024000026,20130923135056601820,MASCHIO,24,ITALIA,ITA
AGCS012024000053,20020207102852823479,MASCHIO,37,ITALIA,ITA
AGCS012024000055,19951114113227084021,MASCHIO,41,ITALIA,ITA
AGCS012024850090,20030503112730671545,MASCHIO,45,ITALIA,ITA
AGCS052024000024,20020311183805942145,MASCHIO,65,ITALIA,ITA
AGCS182024000005,20020715103658556709,FEMMINA,48,ITALIA,ITA
AGCS202024850243,20061202102507641794,MASCHIO,34,ITALIA,ITA
AGCS232024000004,20060210000333258546,MASCHIO,62,ITALIA,ITA
AGCS252024850001,20080630012237591776,MASCHIO,34,ROMANIA,ROU
AGCS312022000001,20030414235543184483,MASCHIO,49,ITALIA,ITA
AGCS342024000004,20040421181026360060,MASCHIO,40,ITALIA,ITA
AGCS422024850330,20021106161752731086,MASCHIO,33,ITALIA,ITA
AGCS492024850605,,NON INDICATO,,,
AGPC012024501012,,NON INDICATO,,,
AGPC012024501023,,NON INDICATO,,,
AGPC012024501064,19940118153953576395,MASCHIO,89,ITALIA,ITA
AGPC032024000060,,NON INDICATO,,,
AGPC032024000069,20120101105812697545,MASCHIO,62,ITALIA,ITA
AGPQ102024000003,20230811193439541222,MASCHIO,37,COSTA D'AVORIO,CIV
AGPQ102024000057,20070215123402353399,MASCHIO,57,ITALIA,ITA
AGPQ102024000114,20160127165538212056,MASCHIO,24,ITALIA,ITA
AGPQ302023000071,,NON INDICATO,,,
ALCC012024000151,19941129154337017192,MASCHIO,61,ITALIA,ITA
ALCS092024000002,20040517115301704465,MASCHIO,41,ITALIA,ITA
ALCS132024000005,20011116143922808508,MASCHIO,43,ITALIA,ITA
ALCS152024000028,20080610120354055219,MASCHIO,28,ITALIA,ITA
ALCS182024000012,,NON INDICATO,,,
ALCS202024000035,20010605110650571323,MASCHIO,69,ITALIA,ITA
ALCS202024000081,20080806151203334670,MASCHIO,60,MAROCCO,MAR
ALCS202024000100,20140911151250928788,MASCHIO,30,BANGLADESH,BGD
ALCS252024000022,20110330152458671821,MASCHIO,71,ITALIA,ITA
ALCS252024000023,20030902173256184057,MASCHIO,39,ITALIA,ITA
